Course Code|Section GPA|Course CPA*
MATH 105|1.38|1.64
MATH 502|3.5|3.5
MATH 105|1.77|1.87
MATH 501|3.25|3.25
MATH 102|1.51|1.87
MATH 319|2.75|2.75
MATH 105|1.99|2.21
MATH 313|2.62|2.62
MATH 500|3.5|3.5
MATH 104|2.58|2.57
MATH 104|2.55|2.57
MATH 105|1.87|2.13
MATH 313|2.54|2.54
MATH 105|2.43|2.25
MATH 105|1.98|2.25
MATH 105|1.96|2.09
MATH 319|2.49|2.49
MATH 601|2.65|2.65
MATH 106|2.08|2.09
MATH 502|3.18|3.18
MATH 105|2.39|2.46
MATH 313|2.73|2.73
MATH 500|3.6|3.6
MATH 106|2.1|2.12
MATH 106|2.01|2.12
MATH 106|2.07|1.87
MATH 106|1.75|1.87
MATH 260|2.03|2.03
MATH 102|1.96|2.14
MATH 101|1.89|1.98
MATH 313|3.34|3.34
MATH 500|3.75|3.75
MATH 314|3.4|3.4
MATH 502|3.41|3.41
MATH 102|1.68|1.6
MATH 313|2.33|2.33
MATH 314|2.91|2.91
MATH 414|2.73|2.73
MATH 260|2.06|2.06
MATH 313|2.63|2.63
MATH 500|3.74|3.74
MATH 215|3.01|3.01
MATH 507|3.78|3.78
MATH 264|1.79|2.23
MATH 501|3.43|3.43
MATH 102|1.77|1.99
MATH 202|2.41|2.41
MATH 502|3.82|3.82
MATH 319|3.34|3.34
MATH 501|2.75|2.75
MATH 601|3.76|3.76
MATH 215|2.05|2.05
MATH 215|3.23|3.23
MATH 414|2.34|2.34
MATH 119|2.71|2.76
MATH 119|2.43|2.76
MATH 501|3.16|3.16
MATH 215|1.65|1.65
MATH 132|2.28|1.96
MATH 414|2.0|2.0
MATH 264|2.58|2.33
MATH 501|2.9|2.9
MATH 414|2.53|2.53
MATH 502|3.62|3.62
MATH 319|3.25|3.25
MATH 501|3.38|3.38
MATH 215|0.89|0.89
MATH 101|2.2|2.07
MATH 101|1.89|2.07
MATH 102|1.98|1.98
MATH 313|2.01|2.01
