Course Code|Section GPA|Course CPA*
MATH 106|1.86|2.0
MATH 250|2.68|2.68
MATH 101|2.62|2.07
MATH 573|3.15|3.15
MATH 502|3.49|3.49
MATH 101|1.51|1.91
MATH 473|2.26|2.26
MATH 573|3.2|3.2
MATH 250|1.94|2.37
MATH 474|3.85|3.85
MATH 574|3.0|3.0
MATH 101|3.31|2.81
MATH 573|3.68|3.68
MATH 101|1.0|1.76
MATH 474|4.0|4.0
MATH 574|3.5|3.5
MATH 313|1.87|1.87
MATH 473|4.0|4.0
MATH 500|2.74|2.74
MATH 573|2.0|2.0
MATH 314|2.87|2.87
MATH 474|2.0|2.0
MATH 574|2.67|2.67
MATH 250|1.92|2.32
MATH 473|2.46|2.46
MATH 314|2.49|2.49
MATH 313|1.88|1.88
MATH 250|2.42|2.42
MATH 574|3.47|3.47
MATH 501|2.66|2.66
MATH 314|1.54|1.54
IE 520|1.9|1.9
MATH 501|1.81|1.81
