Course Code|Section GPA|Course CPA*
HUM 112|3.13|2.96
HUM 112|3.02|2.96
HUM 112|3.32|2.96
HUM 112|2.49|0.0
HUM 112|2.36|0.0
HUM 112|2.25|0.0
HUM 112|2.73|2.99
HUM 112|2.98|2.99
HUM 112|2.76|2.99
HUM 111|2.99|2.86
HUM 111|2.54|2.86
HUM 111|2.93|2.86
HUM 112|2.94|3.1
HUM 112|2.86|3.1
HUM 112|2.78|3.1
HUM 111|2.92|2.79
HUM 111|2.79|2.79
HUM 111|2.82|2.79
HUM 112|3.26|2.88
HUM 112|2.65|2.88
HUM 112|2.72|2.88
HUM 111|2.7|2.78
HUM 111|2.77|2.78
HUM 111|2.61|2.78
HUM 112|3.06|2.95
HUM 112|3.16|2.95
HUM 112|2.78|2.95
AMER 383|2.89|2.76
HUM 111|2.92|2.78
HUM 111|2.78|2.78
HUM 331|4.0|4.0
HUM 112|3.18|2.86
HUM 112|2.69|2.86
HUM 112|3.01|2.86
HUM 111|2.9|2.67
HUM 111|2.53|2.67
HUM 111|2.81|2.67
HUM 112|2.71|2.71
HUM 112|2.84|2.71
HUM 112|2.95|2.71
HUM 111|2.91|2.67
HUM 111|2.76|2.67
HUM 111|2.37|2.67
HUM 111|2.67|2.56
HUM 111|2.51|2.56
HUM 111|2.48|2.56
HUM 111|2.92|2.58
HUM 111|3.08|2.58
HUM 111|2.84|2.58
HUM 111|2.26|2.52
HUM 111|2.24|2.52
HUM 111|2.12|2.52
HUM 111|2.26|2.45
HUM 111|2.11|2.45
HUM 111|2.35|2.45
HUM 112|2.55|2.61
HUM 112|2.58|2.61
HUM 112|2.68|2.61
HUM 111|2.6|2.63
HUM 111|2.7|2.63
HUM 111|2.38|2.63
