Course Code|Section GPA|Course CPA*
MATH 124|1.98|1.98
MATH 214|1.83|1.83
MATH 605|3.67|3.67
MATH 213|2.0|2.0
MATH 225|1.35|1.5
MATH 214|1.9|1.9
MATH 225|2.1|1.98
MATH 509|3.68|3.68
MATH 213|1.35|1.35
MATH 225|0.73|1.42
MATH 214|2.27|2.27
MATH 414|3.97|3.97
MATH 213|1.89|1.89
MATH 225|1.29|1.47
MATH 491|3.66|3.66
MATH 214|2.0|2.0
MATH 225|1.49|1.43
MATH 314|4.0|4.0
MATH 213|2.13|2.13
MATH 225|1.32|1.86
MATH 124|1.7|1.7
MATH 214|2.55|2.55
MATH 213|2.0|2.0
MATH 225|1.82|2.09
MATH 124|2.3|2.3
MATH 214|1.86|1.86
MATH 123|2.27|2.27
MATH 213|2.18|2.18
MATH 124|1.77|1.77
MATH 214|1.45|1.45
MATH 123|2.27|2.27
MATH 213|1.72|1.72
MATH 124|2.14|2.14
MATH 214|1.22|1.22
MATH 213|1.61|1.61
MATH 509|3.89|3.89
MATH 414|3.73|3.73
MATH 240|2.65|2.37
MATH 313|3.76|3.76
MATH 606|3.9|3.9
MATH 314|1.29|1.29
MATH 414|1.75|1.75
MATH 103|2.12|2.12
MATH 313|1.52|1.52
MATH 314|1.49|1.49
MATH 605|4.0|4.0
MATH 103|2.28|2.28
MATH 313|1.69|1.69
MATH 111|2.22|2.04
MATH 314|1.73|1.73
MATH 220|1.81|1.81
MATH 313|1.67|1.67
MATH 214|1.8|1.8
MATH 225|1.9|2.14
MATH 213|1.94|1.94
MATH 605|3.76|3.76
