Course Code|Section GPA|Course CPA*
CS 201|2.3|2.3
CS 202|2.4|2.4
CS 102|2.78|2.73
CS 102|2.62|2.73
CS 202|2.66|2.45
CS 202|2.22|2.45
CS 115|1.99|2.35
CS 115|2.38|2.35
CS 315|2.47|2.53
CS 201|2.09|2.09
CS 102|2.15|2.43
CS 102|2.52|2.43
CS 202|2.41|2.34
CS 202|2.25|2.34
CS 115|3.14|2.55
CS 115|2.6|2.55
CS 115|2.52|2.55
CS 115|2.28|2.55
CS 202|2.09|2.09
CS 101|2.92|2.77
CS 101|2.56|2.77
CS 201|2.41|2.5
CS 102|2.57|2.57
CS 115|2.91|2.66
CS 115|2.59|2.66
CS 115|1.99|2.66
CS 202|2.23|2.23
CS 101|2.58|2.62
CS 101|2.67|2.62
CS 201|2.45|2.4
CS 102|2.59|2.59
CS 115|2.46|2.55
CS 115|2.59|2.55
CS 115|2.89|2.55
CS 201|2.59|2.59
CS 101|1.99|2.11
CS 101|2.28|2.11
CS 102|3.1|3.06
CS 102|2.64|3.06
CS 101|2.66|3.02
CS 101|2.99|3.02
CS 101|3.07|3.02
CS 201|2.5|2.5
CS 202|2.41|2.41
CS 102|2.62|2.85
CS 102|3.02|2.85
CS 102|2.75|2.85
CS 101|2.62|2.95
CS 101|2.75|2.95
CS 101|2.95|2.95
CS 101|3.2|2.95
CS 464|2.59|2.59
CS 114|2.36|2.47
CS 201|2.11|2.22
CS 201|2.31|2.22
CS 101|2.38|2.32
CS 101|2.17|2.32
CS 201|2.24|2.34
CS 201|2.16|2.34
CS 201|1.86|1.86
CS 201|1.95|1.86
CS 461|2.04|2.04
CS 101|2.49|2.35
CS 101|2.25|2.35
CS 201|2.74|2.58
CS 201|2.28|2.58
CS 201|2.61|2.52
CS 201|2.41|2.52
CS 461|2.46|2.46
CS 201|2.02|1.86
CS 201|2.24|1.86
CS 464|2.58|2.58
CS 461|2.32|2.32
CS 464|2.66|2.66
CS 201|1.17|1.47
CS 201|1.51|1.47
CS 464|1.82|1.82
CS 201|2.18|1.49
CS 464|2.38|2.38
CS 201|1.84|1.93
CS 201|2.16|1.93
CS 201|1.89|1.89
CS 464|2.61|2.61
CS 201|1.8|2.07
CS 201|1.92|2.07
