Course Code|Section GPA|Course CPA*
ECON 107|1.74|2.06
ECON 107|1.93|2.06
ECON 107|2.7|2.07
ECON 108|2.31|2.42
ECON 108|2.47|2.42
ECON 103|3.64|3.64
ECON 107|1.91|2.06
ECON 107|2.05|2.06
ECON 108|1.67|1.51
ECON 108|1.33|1.51
ECON 107|2.44|2.36
ECON 107|2.27|2.36
ECON 108|1.82|2.03
ECON 108|2.02|2.03
ECON 107|2.34|2.27
ECON 107|2.2|2.27
ECON 108|1.74|2.14
ECON 108|2.5|2.14
ECON 107|2.89|2.54
ECON 107|2.53|2.54
ECON 108|2.3|2.32
ECON 108|2.66|2.32
ECON 107|2.31|2.16
ECON 107|1.8|2.16
ECON 108|1.68|2.1
ECON 108|2.2|2.1
ECON 107|1.71|1.76
ECON 107|1.93|1.76
ECON 108|1.7|2.13
ECON 108|2.27|2.13
ECON 103|2.8|2.6
ECON 107|1.81|1.72
ECON 107|2.19|2.1
ECON 107|2.44|2.1
ECON 203|2.38|2.38
ECON 204|2.12|2.12
ECON 103|2.64|2.59
ECON 107|2.04|2.03
ECON 107|2.46|2.47
ECON 107|2.34|2.47
ECON 203|1.97|1.97
ECON 204|1.93|1.93
ECON 107|2.78|2.28
ECON 107|2.54|2.19
ECON 204|2.39|2.39
ECON 107|2.24|2.07
ECON 101|2.1|2.23
ECON 204|2.62|2.62
ECON 101|1.99|2.15
ECON 203|1.92|2.01
ECON 101|1.83|1.93
ECON 203|2.21|2.31
ECON 102|1.93|1.66
ECON 203|1.67|1.91
ECON 203|1.93|2.24
ECON 101|1.56|2.02
ECON 201|1.91|2.08
ECON 201|2.01|2.3
