Course Code|Section GPA|Course CPA*
ECON 108|2.5|2.25
ECON 455|2.58|2.58
ECON 108|2.62|2.42
ECON 455|2.37|2.37
ECON 108|3.0|2.4
ECON 455|2.59|2.59
ECON 108|1.71|1.51
ECON 455|2.33|2.33
ECON 108|2.47|2.27
ECON 108|2.76|2.27
ECON 108|3.19|2.03
ECON 108|1.82|1.66
ECON 108|2.48|1.66
ECON 108|2.46|2.14
ECON 455|2.25|2.25
ECON 206|2.1|2.1
ECON 206|2.0|2.1
ECON 206|1.93|2.58
ECON 455|2.39|2.39
ECON 206|2.13|2.07
ECON 206|2.06|2.04
ECON 455|3.03|3.03
ECON 206|2.21|2.38
ECON 206|2.33|2.38
ECON 455|2.33|2.33
ECON 205|2.52|1.68
ECON 206|2.21|2.06
ECON 205|2.16|2.1
ECON 455|2.53|2.53
ECON 205|2.26|1.99
ECON 206|2.48|2.46
ECON 206|1.94|1.94
ECON 455|2.85|2.85
ECON 205|2.03|2.03
ECON 205|2.58|2.15
ECON 206|2.41|2.5
ECON 205|2.96|1.72
ECON 455|3.41|3.41
ECON 205|2.16|2.16
ECON 206|2.21|1.59
ECON 455|2.67|2.67
ECON 102|1.93|1.98
ECON 205|2.19|2.14
ECON 102|1.97|1.58
ECON 206|2.37|2.07
ECON 205|1.99|2.26
ECON 455|3.29|3.29
ECON 205|1.9|1.91
ECON 206|1.85|2.06
ECON 221|2.06|2.19
ECON 455|2.66|2.66
ECON 102|1.29|1.72
ECON 206|2.2|2.39
ECON 205|2.37|2.37
ECON 455|1.96|1.96
ECON 102|1.68|1.96
ECON 202|2.3|2.19
