Course Code|Section GPA|Course CPA*
HUM 112|2.26|2.96
HUM 112|2.94|2.96
HUM 112|2.43|2.96
HUM 111|3.08|2.82
HUM 111|2.37|2.82
HUM 111|2.47|2.82
HUM 112|3.13|2.99
HUM 112|2.96|2.99
HUM 112|2.86|2.99
HUM 112|2.78|2.87
HUM 112|3.03|2.87
HUM 112|2.4|2.87
HUM 112|3.02|3.1
HUM 112|2.6|3.1
HUM 112|3.07|3.1
HUM 111|2.97|2.79
HUM 111|2.52|2.79
HUM 111|2.45|2.79
HUM 112|2.86|2.88
HUM 112|2.97|2.88
HUM 112|3.3|2.88
HUM 111|2.86|2.78
HUM 111|3.02|2.78
HUM 111|2.54|2.78
HUM 112|3.06|2.95
HUM 112|2.91|2.95
HUM 112|2.94|2.95
HUM 111|3.04|2.78
HUM 111|2.79|2.78
HUM 111|2.8|2.78
HUM 112|2.27|2.86
HUM 112|3.09|2.86
HUM 112|3.2|2.86
ELIT 355|2.15|2.65
HUM 111|2.77|2.67
HUM 111|2.74|2.67
HUM 111|2.67|2.67
HUM 112|2.24|2.37
HUM 112|1.83|2.37
HUM 112|2.79|2.71
HUM 112|2.68|2.71
HUM 112|2.98|2.71
HUM 111|2.77|2.67
HUM 111|2.46|2.67
HUM 111|2.71|2.67
HUM 111|2.51|2.67
HUM 112|2.37|2.62
HUM 112|2.77|2.62
HUM 112|2.76|2.66
HUM 112|2.91|2.66
HUM 112|2.67|2.66
HUM 111|2.57|2.58
HUM 111|2.5|2.58
HUM 111|2.07|2.58
