Course Code|Section GPA|Course CPA*
HUM 111|2.52|2.63
HUM 111|2.12|2.63
HUM 112|2.74|2.96
HUM 112|3.49|2.96
HUM 111|2.31|2.82
HUM 111|2.81|2.82
HUM 112|2.1|0.0
HUM 112|2.57|0.0
HUM 111|3.29|2.82
HUM 111|2.63|2.82
HUM 112|2.96|2.99
HUM 112|3.3|2.99
HUM 111|2.75|2.86
HUM 111|2.77|2.86
HUM 112|2.95|2.87
HUM 112|3.01|2.87
HUM 111|2.83|2.94
HUM 111|3.0|2.94
HUM 112|2.4|3.1
HUM 112|3.47|3.1
HUM 111|2.2|2.79
HUM 112|2.71|2.82
HUM 112|2.5|2.82
HUM 112|2.73|2.82
HUM 111|2.85|2.66
HUM 112|2.54|2.48
HUM 111|2.57|2.63
HUM 111|2.24|2.63
HUM 112|2.7|2.88
HUM 112|2.73|2.88
HUM 112|3.21|2.88
HUM 111|2.72|2.78
HUM 111|2.24|2.78
HUM 111|3.19|2.78
HUM 111|2.26|2.78
HUM 112|2.12|2.62
HUM 112|2.36|2.28
HUM 112|2.18|2.28
HUM 111|2.47|2.55
HUM 111|2.74|2.55
HUM 111|2.3|2.55
HUM 112|2.25|2.95
HUM 112|2.56|2.95
HUM 111|2.2|2.78
HUM 111|2.54|2.78
HUM 111|3.01|2.78
HUM 112|2.79|2.75
HUM 112|2.59|2.75
ELIT 362|2.21|2.4
HUM 112|2.55|2.86
HUM 112|3.0|2.86
HUM 112|2.33|2.86
HUM 112|2.71|2.86
ELIT 281|3.0|2.71
HUM 111|2.85|2.67
HUM 111|2.19|2.67
HUM 111|2.65|2.67
HUM 111|1.91|2.67
HUM 111|2.01|2.63
HUM 112|2.3|2.37
HUM 111|2.03|2.53
HUM 111|2.11|2.53
HUM 111|2.37|2.53
HUM 111|2.12|2.53
HUM 112|1.6|2.44
HUM 112|2.68|2.44
HUM 112|2.13|2.44
HUM 112|1.84|2.44
HUM 111|2.23|2.68
HUM 111|2.37|2.68
HUM 112|2.46|2.66
HUM 112|2.55|2.66
HUM 112|2.37|2.66
HUM 112|2.8|2.66
HUM 111|2.51|2.58
HUM 111|3.02|2.58
HUM 111|2.4|2.58
HUM 111|2.38|2.58
HUM 111|2.37|2.58
HUM 112|2.34|2.33
HUM 112|1.87|2.33
HUM 112|2.79|2.6
HUM 112|3.0|2.6
HUM 112|2.92|2.6
HUM 112|2.67|2.6
HUM 111|2.61|2.45
HUM 111|2.47|2.45
HUM 111|2.83|2.45
HUM 111|2.38|2.45
HUM 112|2.23|2.41
HUM 112|2.42|2.41
HUM 112|2.68|2.61
HUM 112|2.56|2.61
HUM 112|2.98|2.61
HUM 112|2.58|2.61
HUM 111|2.33|2.63
HUM 111|2.65|2.63
HUM 111|2.37|2.63
HUM 111|2.65|2.63
HUM 112|2.89|2.54
HUM 112|2.11|2.54
HUM 111|2.46|2.39
HUM 111|2.37|2.39
HUM 111|2.19|2.39
HUM 111|2.39|2.39
HUM 112|1.93|2.28
HUM 112|2.35|2.28
HUM 112|2.44|2.28
HUM 112|2.39|2.28
HUM 111|2.36|2.46
HUM 111|2.43|2.46
HUM 112|1.58|2.65
HUM 112|2.46|2.65
HUM 112|2.38|2.65
HUM 112|2.38|2.65
HUM 111|2.26|2.64
HUM 111|2.23|2.64
HUM 111|2.27|2.64
HUM 111|2.19|2.64
HUM 111|2.65|2.44
HUM 112|2.89|2.9
HUM 112|2.61|2.9
HUM 112|2.96|2.9
HUM 112|2.1|2.9
HUM 111|2.45|2.57
HUM 111|3.12|2.57
HUM 111|2.73|2.57
HUM 111|2.84|2.57
HUM 112|2.74|2.73
HUM 112|2.67|2.73
HUM 112|2.03|2.73
HUM 112|1.74|2.73
HUM 112|2.38|2.73
HUM 111|3.17|2.86
HUM 111|2.7|2.86
HUM 111|2.52|2.86
HUM 111|2.52|2.86
HUM 112|2.45|2.74
HUM 112|2.51|2.89
HUM 112|2.66|2.89
HUM 112|2.57|2.89
HUM 112|2.81|2.89
HUM 111|2.69|2.64
HUM 111|2.3|2.64
HUM 111|3.02|2.64
HUM 111|2.89|2.64
