Course Code|Section GPA|Course CPA*
HUM 112|3.1|2.96
HUM 112|2.81|2.96
HUM 112|3.07|2.96
HUM 111|2.62|2.82
HUM 111|2.83|2.82
HUM 111|2.76|2.82
HUM 111|2.74|2.74
HUM 112|2.67|2.67
HUM 112|2.72|2.99
HUM 112|2.92|2.99
HUM 112|2.59|2.99
HUM 111|2.32|2.86
HUM 111|2.79|2.86
HUM 111|2.29|2.86
HUM 111|2.99|2.94
HUM 112|3.26|3.1
HUM 112|3.31|3.1
HUM 112|2.98|3.1
HUM 111|2.88|2.79
HUM 111|2.79|2.79
HUM 111|2.44|2.79
HUM 112|2.73|2.88
HUM 112|3.07|2.88
HUM 112|2.67|2.88
HUM 111|2.73|2.78
HUM 111|2.64|2.78
HUM 111|2.83|2.78
HUM 111|2.35|2.78
HUM 111|2.2|2.65
HUM 111|2.93|2.65
ELIT 366|2.7|2.7
HUM 112|3.04|2.95
HUM 112|2.85|2.95
HUM 112|2.85|2.95
HUM 112|3.12|2.95
HUM 111|2.74|2.78
HUM 111|2.2|2.78
HUM 111|2.81|2.78
ELIT 222|2.44|2.49
HUM 112|2.68|2.86
HUM 112|2.69|2.86
HUM 112|2.52|2.86
HUM 111|2.65|2.67
HUM 111|2.69|2.67
HUM 331|3.59|3.64
HUM 111|2.74|2.63
HUM 111|2.81|2.63
HUM 112|2.66|2.71
HUM 112|2.73|2.71
HUM 112|2.99|2.71
HUM 111|3.04|2.67
HUM 111|2.71|2.67
HUM 111|2.97|2.67
HUM 111|2.95|2.67
HUM 111|2.71|2.68
HUM 111|2.9|2.68
HUM 112|2.76|2.66
HUM 112|2.59|2.66
HUM 112|2.91|2.66
HUM 111|2.28|2.58
HUM 111|2.46|2.58
HUM 111|2.34|2.58
