Course Code|Section GPA|Course CPA*
ECON 108|2.53|2.25
ECON 108|2.45|2.25
ECON 108|2.29|2.25
ECON 103|1.93|2.02
ECON 107|2.11|2.07
ECON 107|1.89|2.07
ECON 103|2.59|2.71
ECON 108|2.75|2.4
ECON 108|2.43|2.4
ECON 107|2.27|2.16
ECON 107|2.09|2.16
ECON 107|2.12|2.16
ECON 103|2.64|2.82
BF 422|2.07|2.07
ECON 107|1.85|2.11
ECON 107|2.16|2.11
BF 372|2.45|2.45
BF 384|2.39|2.39
BF 422|3.01|3.01
MAN 451|2.61|2.61
BF 422|3.13|3.13
ECON 107|2.37|2.1
ECON 107|1.85|2.1
BF 422|2.54|2.54
BF 384|1.92|1.92
BF 422|2.52|2.52
ECON 108|1.86|1.9
ECON 108|2.03|1.9
BF 161|2.07|2.07
ECON 107|1.93|2.29
ECON 107|2.17|2.29
ACC 178|2.12|2.12
BF 162|1.99|1.99
BF 276|2.3|2.3
ACC 175|1.69|1.69
BF 161|1.84|1.84
ECON 107|1.92|1.98
ACC 178|2.27|2.21
ACC 178|2.16|2.21
BF 162|2.31|2.31
BF 276|2.13|2.13
ACC 175|2.36|2.5
ACC 175|2.59|2.5
BF 271|1.52|1.95
ACC 178|1.62|1.5
ACC 178|1.37|1.5
ACC 175|1.87|1.88
ACC 175|1.89|1.88
BF 271|2.41|2.48
ACC 175|1.89|1.89
ACC 178|2.27|2.1
ACC 178|1.93|2.1
BF 276|1.93|2.21
BF 422|2.61|2.61
ACC 175|2.06|2.07
ACC 175|2.08|2.07
BF 422|2.66|2.66
BF 161|2.11|2.11
ACC 178|1.41|1.41
BF 276|1.99|1.99
BF 422|3.04|3.04
ACC 175|1.69|1.88
ACC 175|2.0|1.88
BF 161|1.88|1.97
BF 384|1.5|1.5
ACC 178|1.23|1.23
BF 178|1.91|1.91
BF 384|1.35|1.35
ACC 175|1.95|1.95
BF 175|2.06|2.06
BF 467|3.08|3.08
BF 161|2.53|2.53
BF 178|3.04|2.64
BF 178|2.28|2.64
BF 384|1.88|1.88
BF 464|2.86|2.86
ACC 161|2.15|2.15
BF 175|2.23|1.82
BF 175|1.49|1.82
BF 178|2.56|2.56
ACC 162|2.22|2.22
BF 178|1.7|1.73
BF 178|1.77|1.73
ACC 161|2.06|2.06
BF 175|1.55|1.79
BF 175|2.07|1.79
BF 162|2.25|2.32
BF 272|2.11|2.29
BF 272|2.46|2.29
BF 161|2.23|2.28
BF 171|1.96|1.94
BF 171|1.9|1.94
BF 171|2.28|2.28
BF 162|2.17|2.4
BF 162|2.45|2.4
BF 272|2.29|2.29
BF 161|1.9|1.97
BF 171|1.58|1.65
BF 171|1.72|1.65
