Course Code|Section GPA|Course CPA*
LNG 161|2.47|2.67
LNG 161|2.43|2.67
LNG 161|2.6|2.67
LNG 161|2.93|2.67
LNG 162|2.51|2.51
LNG 161|3.49|2.95
LNG 161|2.49|2.95
LNG 162|2.51|2.51
LNG 161|3.06|3.15
LNG 161|3.59|3.15
LNG 161|2.99|3.15
LNG 162|3.08|2.84
LNG 163|2.76|2.76
LNG 161|3.41|3.03
LNG 161|2.9|3.03
LNG 161|2.88|3.03
LNG 162|3.05|3.11
LNG 163|2.9|2.9
LNG 161|3.5|3.29
LNG 161|3.5|3.29
LNG 161|3.0|3.29
LNG 162|2.94|2.94
LNG 161|2.43|2.92
LNG 161|2.96|2.92
LNG 161|2.13|2.92
LNG 162|2.67|2.67
LNG 163|2.9|2.9
LNG 161|2.58|2.58
LNG 161|2.75|3.13
LNG 161|2.34|3.13
LNG 162|2.91|2.81
LNG 164|3.14|3.14
LNG 161|3.27|2.91
LNG 161|2.8|2.91
LNG 161|2.24|2.91
LNG 163|3.13|3.23
RUS 111|2.74|2.74
RUS 112|2.54|2.54
RUS 111|2.65|2.99
RUS 111|2.73|2.99
RUS 111|3.17|2.99
RUS 112|2.74|2.95
RUS 113|2.94|2.94
RUS 111|3.13|3.18
RUS 111|3.1|3.18
RUS 111|2.99|3.18
RUS 112|2.8|3.16
RUS 111|3.3|3.3
RUS 112|3.14|3.14
RUS 111|2.47|2.83
RUS 111|2.65|2.83
RUS 111|2.56|2.83
RUS 112|2.98|3.03
RUS 113|2.98|2.98
RUS 111|3.03|3.16
RUS 111|3.33|3.16
RUS 112|1.84|2.35
RUS 112|3.18|2.35
RUS 111|3.1|3.1
RUS 112|3.09|3.09
RUS 111|3.2|3.23
RUS 111|3.34|3.23
RUS 112|3.57|3.52
RUS 113|2.33|2.94
RUS 114|2.86|2.86
RUS 111|2.59|2.94
RUS 111|3.17|2.94
RUS 112|2.57|3.02
RUS 113|3.12|3.24
RUS 111|3.28|3.28
RUS 112|2.79|2.79
RUS 111|3.32|3.2
RUS 112|2.73|2.88
RUS 113|2.71|2.71
RUS 114|2.59|2.59
RUS 111|2.62|3.02
RUS 111|3.34|3.02
RUS 112|2.52|2.58
RUS 113|2.94|2.94
RUS 114|2.45|2.45
RUS 111|3.17|3.17
RUS 112|2.38|2.38
RUS 111|3.4|3.33
RUS 112|2.9|3.11
RUS 112|3.33|3.11
RUS 113|3.27|3.0
RUS 114|2.78|2.78
RUS 111|3.31|3.0
RUS 111|3.27|3.0
RUS 112|3.18|3.02
RUS 112|2.93|3.02
RUS 113|2.55|2.8
RUS 111|2.53|2.53
RUS 112|3.23|3.23
RUS 111|3.23|3.33
RUS 111|3.75|3.33
RUS 111|3.53|3.33
RUS 112|2.84|2.92
RUS 111|3.02|3.11
RUS 111|3.08|3.11
RUS 112|2.7|2.57
RUS 113|2.68|3.18
RUS 111|3.19|3.19
RUS 111|2.79|3.17
RUS 111|3.12|3.17
RUS 112|3.46|2.91
RUS 114|2.95|2.95
RUS 211|3.1|3.1
RUS 111|2.75|3.13
RUS 111|2.88|3.13
RUS 113|3.37|3.37
RUS 114|3.23|3.23
RUS 400|3.53|3.53
IR 573|3.83|3.83
RUS 112|3.23|3.25
IR 563|3.9|3.9
RUS 111|3.12|3.13
RUS 111|3.26|3.13
RUS 400|3.58|3.58
RUS 410|3.43|3.43
IR 573|4.0|4.0
RUS 111|3.41|2.92
IR 563|3.68|3.68
RUS 113|2.78|2.78
RUS 211|3.14|3.14
RUS 162|2.18|2.18
RUS 400|3.67|3.67
RUS 112|3.34|3.24
IR 563|3.68|3.68
RUS 111|3.68|3.72
RUS 113|3.68|3.68
RUS 112|3.09|3.12
RUS 111|3.6|3.58
RUS 163|1.41|1.41
