Course Code|Section GPA|Course CPA*
MATH 102|2.06|2.08
MATH 414|2.49|2.49
MATH 101|2.41|2.07
MATH 101|2.26|2.07
MATH 225|1.65|1.98
MATH 315|1.93|1.93
MATH 102|1.7|1.75
MATH 501|2.91|2.91
MATH 240|2.62|2.47
MATH 240|2.28|2.47
MATH 102|1.93|2.21
MATH 503|2.96|2.96
MATH 240|2.47|2.21
MATH 240|1.96|2.21
MATH 101|2.47|2.32
MATH 501|2.3|2.3
MATH 102|1.61|1.74
MATH 414|3.47|3.47
MATH 101|2.51|2.29
MATH 101|2.42|2.29
MATH 501|2.51|2.51
MATH 225|1.65|2.1
MATH 102|1.49|1.59
MATH 501|2.81|2.81
MATH 213|0.75|0.75
MATH 504|3.62|3.62
MATH 220|2.27|2.1
MATH 503|3.05|3.05
MATH 101|1.83|2.04
MATH 609|3.51|3.51
MATH 102|1.73|1.6
MATH 501|3.2|3.2
MATH 101|1.83|1.9
MATH 224|1.84|1.84
MATH 102|1.12|1.4
MATH 223|1.23|1.23
MATH 102|1.84|2.47
MATH 214|1.15|1.15
MATH 213|1.0|1.0
MATH 225|1.98|2.35
MATH 214|1.91|1.91
MATH 504|3.82|3.82
MATH 101|2.0|2.29
MATH 101|2.89|2.29
MATH 503|2.41|2.41
MATH 112|1.29|1.29
MATH 302|1.42|1.42
MATH 503|3.18|3.18
MATH 114|1.1|1.1
MATH 314|1.82|1.82
MATH 113|1.6|1.6
MATH 313|1.44|1.44
MATH 213|1.78|1.78
MATH 504|3.52|3.52
MATH 302|1.28|1.28
MATH 503|3.21|3.21
MATH 102|2.07|2.28
MATH 414|1.96|1.96
MATH 132|1.86|1.86
MATH 315|1.67|1.67
