Course Code|Section GPA|Course CPA*
HUM 112|3.32|2.96
HUM 112|3.11|2.96
HUM 112|3.44|2.96
HUM 111|3.03|2.82
HUM 111|3.14|2.82
HUM 111|2.98|2.82
HUM 112|3.31|2.99
HUM 112|3.15|2.99
HUM 112|3.0|2.99
HUM 112|3.06|3.1
HUM 112|3.25|3.1
HUM 112|3.31|3.1
HUM 112|3.12|2.82
HUM 112|2.7|2.82
HUM 112|2.99|2.82
HUM 112|2.91|2.88
HUM 112|2.89|2.88
HUM 112|2.68|2.88
HUM 112|2.8|2.62
HUM 112|2.59|2.62
HUM 112|2.79|2.62
AMER 374|2.64|2.64
HUM 112|3.04|2.95
HUM 112|3.02|2.95
HUM 112|2.54|2.95
AMER 343|3.02|2.79
HUM 112|2.85|2.75
HUM 112|2.99|2.75
HUM 112|3.11|2.75
HUM 112|3.26|2.86
HUM 112|3.15|2.86
HUM 112|3.29|2.86
HUM 111|2.76|2.67
HUM 111|3.03|2.67
HUM 111|2.51|2.67
HUM 111|2.24|2.53
HUM 111|2.22|2.53
HUM 111|2.9|2.53
HUM 112|2.97|2.44
HUM 112|2.82|2.44
HUM 331|3.77|3.77
HUM 111|2.52|2.56
HUM 111|2.47|2.56
HUM 111|2.49|2.56
HUM 112|2.32|2.51
HUM 112|2.26|2.51
HUM 112|2.53|2.51
HUM 112|2.58|2.6
HUM 112|2.51|2.6
HUM 112|2.44|2.6
HUM 112|2.56|2.61
HUM 112|2.19|2.61
HUM 112|2.86|2.61
HUM 111|2.73|2.63
HUM 111|2.57|2.63
HUM 111|2.62|2.63
