Course Code|Section GPA|Course CPA*
HUM 111|2.71|2.63
HUM 111|2.95|2.63
HUM 111|2.87|2.82
HUM 111|2.57|2.82
HUM 111|2.95|2.82
HUM 111|2.94|2.82
HUM 111|3.23|2.86
HUM 111|2.64|2.86
HUM 111|3.41|3.4
HUM 111|3.39|3.4
HUM 111|3.23|2.94
PHIL 402|3.2|3.2
HUM 111|3.25|2.79
HUM 111|2.9|2.79
HUM 111|2.51|2.63
PHIL 102|2.67|2.67
HUM 111|2.73|2.78
HUM 111|3.04|2.78
HUM 111|2.93|2.78
HUM 111|2.93|2.78
HUM 111|2.5|2.55
PHIL 102|3.01|3.01
HUM 111|2.6|2.78
HUM 111|2.8|2.78
HUM 111|2.91|2.78
HUM 111|2.56|2.78
HUM 111|2.95|2.55
PHIL 102|2.77|2.77
HUM 111|2.99|2.67
HUM 111|2.92|2.67
HUM 111|2.6|2.63
HUM 111|2.91|2.53
HUM 111|2.98|2.53
PHIL 102|2.44|2.44
HUM 111|2.9|2.67
HUM 111|2.67|2.67
HUM 111|2.67|2.56
PHIL 102|2.69|2.69
HUM 111|3.04|2.58
HUM 111|2.57|2.58
HUM 111|3.03|2.52
PHIL 102|2.11|2.11
HUM 111|2.95|2.45
HUM 111|2.83|2.45
HUM 111|2.76|2.53
PHIL 402|1.85|1.85
HUM 111|2.95|2.63
HUM 111|3.08|2.63
HUM 111|2.86|2.79
HUM 111|2.58|2.79
HUM 111|2.42|2.39
HUM 111|2.65|2.39
PHIL 102|2.32|2.32
HUM 111|2.47|2.67
HUM 111|2.56|2.67
HUM 111|2.48|2.17
HUM 111|1.84|2.17
HUM 111|2.46|2.64
HUM 111|2.64|2.64
HUM 111|2.53|2.69
PHIL 102|2.28|2.28
HUM 111|2.4|2.57
HUM 111|2.83|2.57
HUM 111|2.62|2.57
HUM 111|3.0|2.57
HUM 111|2.32|2.43
PHIL 102|2.08|2.08
HUM 111|2.97|2.86
HUM 111|2.64|2.86
HUM 111|3.22|3.26
HUM 111|2.46|2.83
HUM 111|2.95|2.83
PHIL 102|2.16|2.16
HUM 111|2.67|2.64
HUM 112|2.9|2.9
