Course Code|Section GPA|Course CPA*
ECON 108|2.05|2.25
ECON 108|1.66|2.25
ECON 363|2.1|2.1
GE 400|3.52|3.63
ECON 107|1.95|2.07
ECON 363|2.19|2.21
ECON 363|2.24|2.21
GE 400|3.75|3.7
ECON 108|1.87|2.4
ECON 108|2.41|2.4
ECON 363|2.28|2.28
GE 400|3.66|3.74
ECON 107|2.4|2.16
ECON 363|2.21|2.14
ECON 363|2.09|2.14
GE 400|3.26|3.5
ECON 108|2.31|2.27
ECON 108|2.06|2.27
ECON 363|2.23|2.23
GE 400|3.61|3.64
ECON 107|2.09|2.11
ECON 107|2.3|2.11
ECON 363|2.25|2.48
ECON 363|2.77|2.48
ECON 108|1.47|1.66
ECON 108|1.54|1.66
ECON 363|1.45|1.45
GE 400|3.39|3.63
ECON 107|1.89|2.1
ECON 363|2.42|2.27
ECON 363|2.12|2.27
GE 446|3.77|3.81
ECON 108|1.78|1.9
ECON 108|1.94|1.9
ECON 363|2.22|2.22
GE 445|3.39|3.39
ECON 107|2.46|2.29
ECON 363|1.78|2.07
ECON 363|2.28|2.07
GE 445|3.64|3.64
ECON 108|1.99|2.16
ECON 108|2.13|2.16
ECON 363|1.87|1.87
GE 445|3.62|3.62
ECON 107|2.13|1.98
ECON 363|2.2|2.47
ECON 363|2.64|2.47
GE 445|3.74|3.74
ECON 108|2.16|2.1
ECON 108|2.04|2.1
ECON 363|2.24|2.24
GE 446|3.38|3.38
ECON 107|1.95|1.9
ECON 363|2.46|2.31
ECON 363|2.2|2.31
GE 440|3.65|3.65
ECON 108|2.09|2.1
ECON 108|2.05|2.1
ECON 363|2.09|2.09
GE 445|3.08|3.08
ECON 108|1.87|1.95
ECON 363|2.16|2.11
ECON 363|2.06|2.11
GE 445|2.69|2.69
ECON 108|1.92|2.27
ECON 108|2.05|2.27
ECON 363|2.01|2.01
GE 440|2.96|2.96
ECON 363|2.58|2.19
ECON 363|1.66|2.19
ECON 363|2.43|2.19
GE 440|3.39|3.37
GE 440|3.44|3.37
GE 440|3.27|3.37
ECON 108|1.78|2.26
ECON 108|2.45|2.26
ECON 108|2.19|2.26
ECON 363|1.84|1.84
ECON 107|2.25|2.19
ECON 363|2.65|2.35
ECON 363|2.22|2.35
ECON 363|2.23|2.35
ECON 103|2.61|2.35
ECON 108|2.46|2.1
ECON 108|1.88|2.1
GE 440|2.96|3.13
GE 440|3.17|3.13
ECON 101|2.74|2.23
ECON 102|1.71|1.98
ECON 103|2.29|2.08
ECON 363|2.15|2.4
ECON 102|1.77|1.58
ECON 102|2.18|1.58
ECON 103|2.19|2.27
ECON 103|2.23|2.27
ECON 101|1.91|1.93
ECON 101|1.83|1.93
ECON 101|1.72|1.93
ECON 103|2.35|2.29
ECON 102|1.97|1.66
ECON 102|2.19|1.66
ECON 103|2.36|2.17
ECON 101|1.82|1.74
ECON 363|1.98|1.9
ECON 363|1.76|1.9
ECON 102|1.75|1.72
ECON 102|1.71|1.72
ECON 102|1.75|1.72
ECON 412|2.27|2.63
ECON 101|1.77|2.05
ECON 101|2.05|2.05
ECON 411|2.27|2.54
ECON 101|1.85|1.7
ECON 412|2.15|2.44
ECON 101|2.03|1.87
ECON 411|2.36|2.43
