Course Code|Section GPA|Course CPA*
CS 102|2.81|2.73
CS 478|3.04|3.04
CS 564|3.38|3.38
CS 102|2.8|2.8
CS 465|2.68|2.68
CS 353|2.54|2.47
CS 353|2.3|2.47
CS 478|3.21|3.21
CS 564|3.27|3.27
CS 281|2.81|2.74
CS 465|2.6|2.6
CS 353|2.46|2.44
CS 478|2.88|2.88
CS 564|3.71|3.71
CS 281|2.91|2.78
CS 465|2.48|2.48
CS 590|0.0|0.0
CS 353|2.34|2.32
CS 353|2.11|2.32
CS 281|2.54|2.41
CS 465|2.61|2.61
CS 465|2.65|2.65
CS 564|3.67|3.67
CS 102|2.59|2.42
CS 281|2.14|2.65
CS 281|2.52|2.65
CS 281|2.84|2.65
CS 465|2.69|2.69
CS 564|3.89|3.89
CS 102|1.94|2.07
CS 281|2.16|2.33
CS 564|3.57|3.57
CS 102|1.92|2.3
CS 281|2.5|2.29
CS 465|2.34|2.34
CS 564|3.68|3.68
CS 590|0.0|0.0
CS 102|2.06|2.04
CS 281|2.31|2.35
CS 465|2.28|2.28
CS 281|2.27|2.27
CS 564|3.33|3.33
CS 102|2.14|2.07
CS 465|2.02|2.02
CS 102|1.66|2.28
CS 281|2.35|2.35
CS 564|3.73|3.73
CS 465|2.65|2.65
CS 281|1.85|1.85
CS 564|3.59|3.59
CS 281|2.12|2.32
CS 281|2.07|2.32
CS 465|2.73|2.73
CS 102|2.56|2.2
CS 564|3.63|3.63
CS 281|2.39|2.37
CS 281|2.65|2.37
CS 465|2.42|2.42
CS 102|2.2|2.42
CS 564|3.51|3.51
CS 281|2.42|2.47
CS 281|2.7|2.47
CS 465|2.77|2.77
CS 102|2.77|2.27
CS 564|3.74|3.74
CS 281|1.9|2.49
CS 281|2.61|2.49
CS 465|2.38|2.38
CS 102|2.64|2.35
CS 564|3.79|3.79
CS 102|2.35|2.15
CS 281|2.42|2.44
CS 465|2.25|2.25
