Course Code|Section GPA|Course CPA*
HUM 112|2.9|2.96
HUM 112|2.99|2.96
HUM 112|2.46|2.96
ELIT 273|2.73|2.87
ELIT 273|2.95|2.87
HUM 111|2.57|2.82
HUM 112|2.51|2.99
HUM 112|3.25|2.99
HUM 112|2.82|2.99
HUM 111|3.03|2.86
HUM 111|2.74|2.86
HUM 111|2.27|2.86
HUM 112|3.3|3.1
HUM 112|3.28|3.1
HUM 331|3.59|3.59
HUM 111|2.73|2.79
HUM 111|2.17|2.79
HUM 111|2.85|2.79
HUM 112|2.96|2.88
HUM 112|2.43|2.88
HUM 112|2.83|2.62
HUM 112|2.38|2.62
HUM 112|2.8|2.62
HUM 112|2.92|2.95
HUM 112|2.73|2.95
HUM 111|2.94|2.78
HUM 111|2.74|2.78
