Course Code|Section GPA|Course CPA*
ELIT 490|3.25|3.25
HUM 112|2.38|2.96
HUM 112|2.94|2.96
HUM 112|2.45|2.96
HUM 111|2.28|2.82
HUM 111|2.17|2.82
HUM 111|2.64|2.82
HUM 112|2.79|2.99
HUM 112|2.98|2.99
HUM 112|3.07|2.99
HUM 111|2.91|2.86
HUM 111|2.58|2.86
HUM 111|2.37|2.86
HUM 111|2.56|2.94
HUM 112|2.92|3.1
HUM 112|2.74|3.1
HUM 111|2.53|2.79
HUM 111|2.51|2.79
HUM 111|2.75|2.79
HUM 112|2.39|2.88
HUM 112|2.7|2.88
HUM 112|2.33|2.88
HUM 111|2.23|2.78
HUM 111|2.71|2.78
HUM 111|2.29|2.78
HUM 112|2.56|2.86
HUM 112|2.66|2.86
HUM 112|2.65|2.86
HUM 111|2.95|2.67
HUM 111|2.79|2.67
HUM 111|2.1|2.67
HUM 112|2.48|2.71
HUM 112|2.45|2.71
HUM 112|2.77|2.71
HUM 111|2.85|2.67
HUM 112|2.26|2.44
HUM 112|2.36|2.44
ELIT 224|2.55|3.07
HUM 111|2.28|2.56
HUM 111|2.73|2.56
HUM 111|2.18|2.56
HUM 111|2.7|2.58
HUM 111|2.38|2.58
HUM 111|2.58|2.58
HUM 111|2.62|2.52
HUM 112|2.85|2.6
HUM 112|2.74|2.6
HUM 111|2.58|2.45
HUM 111|1.94|2.45
HUM 111|2.29|2.45
HUM 111|2.41|2.53
HUM 112|2.94|2.61
HUM 112|2.45|2.61
HUM 112|2.28|2.53
HUM 112|2.51|2.53
HUM 112|2.67|2.53
HUM 112|3.02|2.85
HUM 112|2.16|2.85
HUM 112|2.49|2.85
HUM 111|2.99|2.67
HUM 111|2.02|2.67
HUM 331|3.27|3.27
HUM 112|2.17|2.65
HUM 112|2.29|2.65
HUM 112|2.16|2.65
HUM 111|2.31|2.64
HUM 111|2.67|2.64
HUM 111|2.27|2.64
HUM 112|2.46|2.9
HUM 112|2.81|2.9
HUM 112|2.9|2.9
HUM 111|2.09|2.57
HUM 111|2.58|2.57
HUM 111|3.16|2.57
HUM 111|2.65|2.43
HUM 111|2.33|2.43
HUM 112|2.2|2.73
HUM 111|2.51|2.86
HUM 111|3.21|2.86
HUM 331|3.78|3.69
